Name,786O_shARNT_1 - linear total reads,786O_shARNT_2 - linear total reads,786O_shARNT_3 - linear total reads,786O_shBMAL1_1 - linear total reads,786O_shBMAL1_2 - linear total reads,786O_shBMAL1_3 - linear total reads,786O_shBMAL2_1 - linear total reads,786O_shBMAL2_2 - linear total reads,786O_shBMAL2_3 - linear total reads,786O_shCNT_1 - linear total reads,786O_shCNT_2 - linear total reads,786O_shCNT_3 - linear total reads
ANKRD18B,93.87093156,83.65338457,120.1067796,111.0088837,127.6660058,128.4098485,106.7903013,70.06744991,85.37368653,89.25633453,55.60333514,57.17854606
PTENP1-AS,0,0,0,0,1.021328046,0,1.007455672,0,0.938172379,0,2.02193946,1.021045465
LOC102724216,0.988115069,0.995873626,0,0,0,0,0,0,0.938172379,0,0,0
LINC01251,0,0,1.009300669,2.01834334,0,0,0,0,0,0,0,0
PRSS3,2.964345207,2.987620878,5.046503343,0,2.042656092,0.995425183,0,0,2.814517138,1.014276529,5.054848649,5.105227327
UBE2R2,2080.970336,2029.59045,1884.364348,2426.048695,1861.881028,2205.862204,2270.805085,1975.717699,1995.492651,2032.610164,2160.442313,2235.068524
UBAP2,4296.32432,4107.978707,4318.797561,4527.144112,3995.435316,3482.992714,4511.386501,2869.999626,3298.614086,3975.963993,4261.237411,4004.540315
SNORD121B,0.988115069,0.995873626,1.009300669,1.00917167,1.021328046,2.986275548,1.007455672,2.765820391,0,3.042829586,2.02193946,2.042090931
DCAF12,1662.997661,1717.882005,1949.968892,1766.050423,1529.949413,1657.382929,1692.525529,1922.245172,1875.406586,1897.711385,2062.378249,1909.35502
UBAP1,6107.539242,6371.599458,6503.933508,7233.742531,6246.44233,5938.706639,3519.042663,2961.271699,3034.049475,4910.112676,5517.872785,5325.773148
LOC114224,0,0,0,0,0,0.995425183,0,0,0,0,0,0
KIF24,499.986225,415.279302,461.2504055,483.39323,455.5123085,442.9642062,522.8694939,490.4721494,520.6856706,522.3524123,440.7828022,503.3754145
