"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MRPL19",1403.66475262384,0.188673634889937,0.0746627844426384,2.52701042826617,0.0115038086852239,0.0368121877927165
"DCAF13",2877.71714679482,0.179280866350862,0.0709799834188427,2.5257947059941,0.0115436915850002,0.0369308817825732
"MECR",794.590438105125,-0.218989218731174,0.0867064439869971,-2.52563948723367,0.011548792503932,0.036938269860292
"GLI4",323.425571262025,0.348610949879329,0.138074840134045,2.52479705600884,0.0115765120326684,0.0370179814442408
"MCEE",193.307338137956,0.381086822780533,0.150960509394362,2.5244139961465,0.0115891358263997,0.0370493948429381
"LOC100499484-C9ORF174",242.160505941959,0.360276138143919,0.142740768444949,2.52398906121111,0.0116031539084755,0.037085249400229
"FAM175B",848.277843094015,0.217038381861273,0.0859968887839627,2.52379341776545,0.0116096130021462,0.0370969329254765
"LOC100506885",46.6277717729348,0.763606596941141,0.302773542296334,2.52203871959782,0.0116676864602194,0.0372734976440423
"MRPL9",1690.38667886741,0.170264922382803,0.0675194224101335,2.52171769699928,0.0116783388615386,0.0372985227651169
"AEBP2",1044.5852616854,0.207321443316027,0.0822222237339688,2.52147696694289,0.0116863325981842,0.0373150465586809
"WDR7",888.339527110769,0.212868854202261,0.0844578466928416,2.52041536148118,0.0117216424405342,0.0374187630333288
"MTSS1L",3632.59427205879,-0.152420805587381,0.0604904051013366,-2.51975177438534,0.0117437619115769,0.0374803322754426
"ZNRD1",290.147576992089,-0.372197573603421,0.147755191814324,-2.51901519691532,0.0117683577340768,0.0375497732185444
"NUMA1",5053.79110133104,0.139944458925638,0.0555597451333492,2.51881031113005,0.0117752074049566,0.0375625709697169
"CAPNS1",10364.064427453,-0.168917941211225,0.0670820571683146,-2.51807932466048,0.0117996743143109,0.0376315474878192
"STT3A",22446.1410346615,0.128228642784926,0.0509377517962902,2.51735968437981,0.011823805487255,0.0376994202909295
"TRNAU1AP",1184.28257352632,-0.186903865751529,0.0742657962619963,-2.51668837013698,0.0118463556237323,0.0377622205765421
"C20orf96",205.350159153969,0.36372666774817,0.144538733662778,2.51646502311816,0.0118538665306783,0.0377770621228169
"COIL",617.741163467421,0.249557453181144,0.0992896099591837,2.51342968598359,0.011956360952209,0.0380945263952875
"GOSR2",1231.78790592451,0.222859131019674,0.0886787418957702,2.5131065941555,0.011967316948127,0.0381202546599945
"TNRC6C",332.422518325118,-0.295403449004643,0.117550377800791,-2.51299446697869,0.0119711212439195,0.0381231952586143
"SENP1",1948.77070506757,-0.171754639827288,0.0683508743222898,-2.51283749520783,0.0119764488461528,0.0381309843917934
"BCL2L12",1243.18947882839,-0.20609564366198,0.0820222904305338,-2.51267847532893,0.0119818481040929,0.0381389978622463
"PVT1",747.940303230591,-0.216419537424173,0.0861677725562852,-2.51160649746176,0.0120183016837436,0.0382458316208021
"YPEL2",72.0251032932771,0.622920694468171,0.248042980274594,2.51134175931354,0.0120273194686816,0.0382653260903089
"ZNRF2",173.496813685176,-0.419152305978785,0.166919022726782,-2.51111167038682,0.0120351618672268,0.0382810725546023
"SLC45A4",205.746497359913,0.393991782681509,0.156954287200175,2.51023269073894,0.0120651629406758,0.0383672761429996
"FAM60A",417.455344885776,-0.266745032756397,0.106283371069498,-2.50975321983318,0.0120815560256274,0.0384101752357283
"TMEM199",418.831643658283,0.268387170030508,0.106970161305151,2.5089909817457,0.012107657545965,0.0384839117579172
"GRK5",538.249021802764,0.260173513509166,0.103719097463364,2.50844367018394,0.0121264300946356,0.038534323489966
"PRKCQ-AS1",168.935944851771,-0.408746999514875,0.162979804238216,-2.50796104109586,0.0121430054602721,0.0385777306723457
"LOC100128398",36.8350066284439,0.889484531962051,0.354722868150295,2.50754775580237,0.0121572152445543,0.0386083900897027
"REPIN1",4663.37320635824,0.19226877346929,0.0766771511946722,2.50751065309075,0.0121584916493192,0.0386083900897027
"TXNDC5",1928.53857015334,-0.448355497190575,0.178877186228355,-2.50649904911968,0.0121933385657217,0.0387080875160336
"SMU1",1925.35204991993,0.168002037871083,0.0670284324314752,2.50642946249467,0.0121957388795605,0.0387080875160336
